Model,Confidence Type,Confidence Bin,Mean Confidence,Actual Accuracy,Sample Count,Calibration Error
gpt-4o,categorical,0-20%,0.2,1.0,2,0.8
gpt-4o,categorical,20-40%,0.4,1.0,8,0.6
gpt-4o,categorical,40-60%,0.6000000000000002,1.0,38,0.3999999999999998
gpt-4o,categorical,60-80%,0.7999999999999999,1.0,72,0.20000000000000007
gpt-4o,float,40-60%,0.6,1.0,3,0.4
gpt-4o,float,60-80%,0.7533333333333334,1.0,30,0.2466666666666666
gpt-4o,float,80-100%,0.9218390804597705,1.0,87,0.07816091954022952
gpt-4o,integer,20-40%,0.4000000000000001,1.0,3,0.5999999999999999
gpt-4o,integer,40-60%,0.6,1.0,5,0.4
gpt-4o,integer,60-80%,0.7999999999999996,1.0,46,0.2000000000000004
gpt-4o,integer,80-100%,1.0,1.0,66,0.0
gpt-4o-mini,categorical,0-20%,0.19999999999999998,1.0,6,0.8
gpt-4o-mini,categorical,20-40%,0.3999999999999998,0.9454545454545454,55,0.5454545454545456
gpt-4o-mini,categorical,40-60%,0.6000000000000002,0.9210526315789473,38,0.32105263157894715
gpt-4o-mini,categorical,60-80%,0.8000000000000002,1.0,21,0.19999999999999984
gpt-4o-mini,float,60-80%,0.732,0.96,50,0.22799999999999998
gpt-4o-mini,float,80-100%,0.8735714285714287,0.9428571428571428,70,0.06928571428571417
gpt-4o-mini,integer,20-40%,0.4000000000000001,1.0,3,0.5999999999999999
gpt-4o-mini,integer,40-60%,0.6,1.0,40,0.4
gpt-4o-mini,integer,60-80%,0.7999999999999998,0.8823529411764706,68,0.08235294117647074
gpt-4o-mini,integer,80-100%,1.0,1.0,9,0.0
